definition,lib,category,uuid,axes,regime,latency_us,mfu,mfu_ceiling,bandwidth_utilization,sol_efficiency,ai,t_sol_us,flops,bytes,peak
049_attention_qk_matmul_with_gqa_repeat_and_scaling,torch,Contest,33ad9e87-fc70-5c1f-9f12-0376448d603c,"{""batch_size"": 1, ""seq_len"": 2048}",balanced,38.36373488108317,0.22639805122955706,0.7499576421720001,0.3018811176773547,0.3018811176773547,221.40540540540542,11.581287164179106,8589934592,38797312,989000000000000.0
049_attention_qk_matmul_with_gqa_repeat_and_scaling,torch,Contest,3e9943ed-1741-5931-ba93-4e412ebe8ac1,"{""batch_size"": 8, ""seq_len"": 256}",latency,47.38346735636393,0.02291272488999819,0.38539489944950006,0.05945258985712275,0.05945258985712275,113.77777777777777,2.817069850746269,1073741824,9437184,989000000000000.0
053_text_decoder_layer_with_self_attention_and_mlp,torch,Contest,2f666bf7-a652-5d69-830a-c7fdbd26bed8,"{""batch_size"": 1, ""seq_len"": 131}",memory,967.463493347168,0.06003454680356704,0.4010253879384285,0.1497026088851623,0.14970260888516226,118.39227124510622,144.83180895522386,57442338816,485186560,989000000000000.0
053_text_decoder_layer_with_self_attention_and_mlp,torch,Contest,54104d64-4374-53cd-be52-c1bd0b4390ae,"{""batch_size"": 1, ""seq_len"": 4096}",compute,2587.5572204589844,0.8058110665180128,1.0,0.22693505909875455,0.8058110665180128,1048.294040727939,2085.082243494439,2062146338816,1967144960,989000000000000.0
053_text_decoder_layer_with_self_attention_and_mlp,torch,Contest,006be1df-f456-5cab-90c9-24b1ada430d9,"{""batch_size"": 8, ""seq_len"": 256}",compute,1019.1797256469727,0.8950913921915495,1.0,0.35196126458159044,0.8950913921915495,750.799536437385,912.2589995227503,902224150528,1201684480,989000000000000.0
054_vision_encoder_layer_with_gated_residuals,flash_attn,L2,d22bccf1-d192-5c97-b61c-e94764fd439d,"{""batch_size"": 1, ""seq_len"": 4096}",balanced,536.3552093505859,0.46603790518386834,1.0,0.2553232444681883,0.4660379051838684,538.8679716970603,249.96185820020224,247212277760,458762240,989000000000000.0
054_vision_encoder_layer_with_gated_residuals,flash_attn,L2,04daccdc-3889-50b2-8eb3-a972f05c6bf1,"{""batch_size"": 16, ""seq_len"": 512}",balanced,452.1546681722005,0.7694886985132651,1.0,0.5797729740934151,0.7694886985132648,391.82826692785767,347.9279071385237,344100700160,878192640,989000000000000.0
054_vision_encoder_layer_with_gated_residuals,flash_attn,L2,364aa4bc-7d6f-5322-ad4b-c977aa6746b9,"{""batch_size"": 2, ""seq_len"": 2048}",balanced,391.4976119995117,0.5275497928851652,1.0,0.3497951150695059,0.5275497928851651,445.24720430347537,206.53448412537915,204262604800,458762240,989000000000000.0
054_vision_encoder_layer_with_gated_residuals,flashinfer,Contest,d22bccf1-d192-5c97-b61c-e94764fd439d,"{""batch_size"": 1, ""seq_len"": 4096}",balanced,344.95038986206055,0.7246313253919137,1.0,0.3969960790407206,0.7246313253919135,538.8679716970603,249.96185820020224,247212277760,458762240,989000000000000.0
054_vision_encoder_layer_with_gated_residuals,flashinfer,Contest,04daccdc-3889-50b2-8eb3-a972f05c6bf1,"{""batch_size"": 16, ""seq_len"": 512}",balanced,449.7557322184245,0.7735930466574956,1.0,0.582865404345988,0.7735930466574955,391.82826692785767,347.9279071385237,344100700160,878192640,989000000000000.0
054_vision_encoder_layer_with_gated_residuals,flashinfer,Contest,364aa4bc-7d6f-5322-ad4b-c977aa6746b9,"{""batch_size"": 2, ""seq_len"": 2048}",balanced,304.10668055216473,0.6791514206474377,1.0,0.4503155010937531,0.6791514206474376,445.24720430347537,206.53448412537915,204262604800,458762240,989000000000000.0
064_latent_kv_expansion_with_split,flashinfer,L1,6881c73d-29fa-5b49-8f13-edb695bb05d1,"{""batch_size"": 2, ""seq_len"": 293}",balanced,69.70346768697102,0.2852528317274058,0.9179820308780231,0.3107390146347088,0.3107390146347088,271.01021747413876,21.659586865671642,19664397312,72559616,989000000000000.0
064_latent_kv_expansion_with_split,flashinfer,L1,a75be66d-9e4b-51cc-a074-8285ff053bb1,"{""batch_size"": 1, ""seq_len"": 8192}",balanced,852.0629247029623,0.3262158119933025,1.0,0.20277914323168017,0.3262158119933025,474.9339423864527,277.956398851365,274898878464,578814976,989000000000000.0
064_latent_kv_expansion_with_split,flashinfer,L1,c5b1b387-4d0f-580a-8c64-fc35466ecf84,"{""batch_size"": 16, ""seq_len"": 512}",balanced,877.7770360310873,0.3166594561509137,1.0,0.19683881299969108,0.3166594561509136,474.9339423864527,277.956398851365,274898878464,578814976,989000000000000.0
065_sparse_expert_dispatch_and_combine,torch,Contest,0217e0c7-5a89-5f3f-b2e3-2c085e1d3e7a,"{""num_tokens"": 2048}",memory,23095.599365234375,0.017920758263934113,0.20762493419563122,0.08631313157719568,0.08631313157719567,61.295838781934116,1993.4535068656714,409337856000,6678069248,989000000000000.0
065_sparse_expert_dispatch_and_combine,torch,Contest,50112f2e-0410-5f78-b2f6-a4532d9d16ff,"{""num_tokens"": 3011}",memory,26358.8134765625,0.023085568041334267,0.2987896012978163,0.07726362611369429,0.07726362611369429,88.20982557717622,2036.5775092537315,601814592000,6822534656,989000000000000.0
